mode,n_measurements,duration_label,mu_baseline,sigma_baseline,rho,h_init,mde
ap_only,3,1yr,0.3,0.2,0.9,-0.05,0.25849056603773585
ap_only,3,1yr,0.3,0.2,0.9,0.0,0.23897849462365595
ap_only,3,1yr,0.3,0.2,0.9,0.05,0.2851851851851852
ap_only,3,1yr,0.5,0.1,0.5,-0.05,0.18270833333333336
ap_only,3,1yr,0.5,0.1,0.5,0.0,0.18333333333333335
ap_only,3,1yr,0.5,0.1,0.5,0.05,0.18491735537190085
ap_only,3,1yr,0.5,0.1,0.7,-0.05,0.21720779220779224
ap_only,3,1yr,0.5,0.1,0.7,0.0,0.22462311557788947
ap_only,3,1yr,0.5,0.1,0.7,0.05,0.2188679245283019
ap_only,3,1yr,0.5,0.1,0.9,-0.05,0.253125
ap_only,3,1yr,0.5,0.1,0.9,0.0,0.2596
ap_only,3,1yr,0.5,0.1,0.9,0.05,
ap_only,3,1yr,0.5,0.2,0.5,-0.05,0.17782805429864254
ap_only,3,1yr,0.5,0.2,0.5,0.0,0.1795918367346939
ap_only,3,1yr,0.5,0.2,0.5,0.05,0.178125
ap_only,3,1yr,0.5,0.2,0.7,-0.05,0.21139705882352944
ap_only,3,1yr,0.5,0.2,0.7,0.0,0.22066666666666668
ap_only,3,1yr,0.5,0.2,0.7,0.05,0.22792207792207794
ap_only,3,1yr,0.5,0.2,0.9,-0.05,0.2565420560747664
ap_only,3,1yr,0.5,0.2,0.9,0.0,0.26029411764705884
ap_only,3,1yr,0.5,0.2,0.9,0.05,
ap_only,3,1yr,0.7,0.1,0.5,-0.05,0.1788888888888889
ap_only,3,1yr,0.7,0.1,0.5,0.0,0.17572815533980585
ap_only,3,1yr,0.7,0.1,0.5,0.05,0.16314102564102564
ap_only,3,1yr,0.7,0.1,0.7,-0.05,0.21521739130434783
ap_only,3,1yr,0.7,0.1,0.7,0.0,0.21488549618320613
ap_only,3,1yr,0.7,0.1,0.7,0.05,0.22673267326732677
ap_only,3,1yr,0.7,0.1,0.9,-0.05,0.262992125984252
ap_only,3,1yr,0.7,0.1,0.9,0.0,0.2879310344827587
ap_only,3,1yr,0.7,0.1,0.9,0.05,
ap_only,3,1yr,0.7,0.2,0.5,-0.05,0.18059701492537314
ap_only,3,1yr,0.7,0.2,0.5,0.0,0.18071065989847718
ap_only,3,1yr,0.7,0.2,0.5,0.05,0.18232323232323233
ap_only,3,1yr,0.7,0.2,0.7,-0.05,0.21458333333333335
ap_only,3,1yr,0.7,0.2,0.7,0.0,0.22598425196850397
ap_only,3,1yr,0.7,0.2,0.7,0.05,0.2627906976744186
ap_only,3,1yr,0.7,0.2,0.9,-0.05,0.2574380165289256
ap_only,3,1yr,0.7,0.2,0.9,0.0,0.32
ap_only,3,1yr,0.7,0.2,0.9,0.05,
ap_only,3,6mo,0.3,0.1,0.5,-0.05,0.17594594594594598
ap_only,3,6mo,0.3,0.1,0.5,0.0,0.18399122807017546
ap_only,3,6mo,0.3,0.1,0.5,0.05,0.1906374501992032
ap_only,3,6mo,0.3,0.1,0.7,-0.05,0.19841897233201583
ap_only,3,6mo,0.3,0.1,0.7,0.0,0.21884057971014495
ap_only,3,6mo,0.3,0.1,0.7,0.05,0.227979274611399
ap_only,3,6mo,0.3,0.1,0.9,-0.05,0.2050420168067227
ap_only,3,6mo,0.3,0.1,0.9,0.0,0.23304093567251463
ap_only,3,6mo,0.3,0.1,0.9,0.05,0.25882352941176473
ap_only,3,6mo,0.3,0.2,0.5,-0.05,0.17129186602870816
ap_only,3,6mo,0.3,0.2,0.5,0.0,0.17991266375545853
ap_only,3,6mo,0.3,0.2,0.5,0.05,0.1842857142857143
ap_only,3,6mo,0.3,0.2,0.7,-0.05,0.1989495798319328
ap_only,3,6mo,0.3,0.2,0.7,0.0,0.20850340136054424
ap_only,3,6mo,0.3,0.2,0.7,0.05,0.21837349397590364
ap_only,3,6mo,0.3,0.2,0.9,-0.05,0.2178977272727273
ap_only,3,6mo,0.3,0.2,0.9,0.0,0.23256578947368423
ap_only,3,6mo,0.3,0.2,0.9,0.05,0.2926470588235294
ap_only,3,6mo,0.5,0.1,0.5,-0.05,0.1932926829268293
ap_only,3,6mo,0.5,0.1,0.5,0.0,0.1930830039525692
ap_only,3,6mo,0.5,0.1,0.5,0.05,0.1947257383966245
ap_only,3,6mo,0.5,0.1,0.7,-0.05,0.23205128205128206
ap_only,3,6mo,0.5,0.1,0.7,0.0,0.22767857142857145
ap_only,3,6mo,0.5,0.1,0.7,0.05,0.22529069767441862
ap_only,3,6mo,0.5,0.1,0.9,-0.05,0.23472222222222222
ap_only,3,6mo,0.5,0.1,0.9,0.0,0.25786516853932584
ap_only,3,6mo,0.5,0.1,0.9,0.05,
ap_only,3,6mo,0.5,0.2,0.5,-0.05,0.18728813559322036
ap_only,3,6mo,0.5,0.2,0.5,0.0,0.19037558685446013
ap_only,3,6mo,0.5,0.2,0.5,0.05,0.18943661971830988
ap_only,3,6mo,0.5,0.2,0.7,-0.05,0.22202797202797206
ap_only,3,6mo,0.5,0.2,0.7,0.0,0.22692307692307695
ap_only,3,6mo,0.5,0.2,0.7,0.05,0.2304945054945055
ap_only,3,6mo,0.5,0.2,0.9,-0.05,0.2343137254901961
ap_only,3,6mo,0.5,0.2,0.9,0.0,0.2616438356164384
ap_only,3,6mo,0.5,0.2,0.9,0.05,
ap_only,3,6mo,0.7,0.1,0.5,-0.05,0.1885514018691589
ap_only,3,6mo,0.7,0.1,0.5,0.0,0.18169291338582677
ap_only,3,6mo,0.7,0.1,0.5,0.05,0.1741935483870968
ap_only,3,6mo,0.7,0.1,0.7,-0.05,0.22620689655172416
ap_only,3,6mo,0.7,0.1,0.7,0.0,0.21982758620689657
ap_only,3,6mo,0.7,0.1,0.7,0.05,0.2418367346938776
ap_only,3,6mo,0.7,0.1,0.9,-0.05,0.2533613445378151
ap_only,3,6mo,0.7,0.1,0.9,0.0,
ap_only,3,6mo,0.7,0.1,0.9,0.05,
ap_only,3,6mo,0.7,0.2,0.5,-0.05,0.19146341463414637
ap_only,3,6mo,0.7,0.2,0.5,0.0,0.19535519125683062
ap_only,3,6mo,0.7,0.2,0.5,0.05,0.19450261780104716
ap_only,3,6mo,0.7,0.2,0.7,-0.05,0.22773437500000002
ap_only,3,6mo,0.7,0.2,0.7,0.0,0.24380165289256203
ap_only,3,6mo,0.7,0.2,0.7,0.05,0.271978021978022
ap_only,3,6mo,0.7,0.2,0.9,-0.05,0.24807692307692308
ap_only,3,6mo,0.7,0.2,0.9,0.0,
ap_only,3,6mo,0.7,0.2,0.9,0.05,
pooled,2,1.5yr,0.3,0.1,0.5,-0.05,0.12920245398773006
pooled,2,1.5yr,0.3,0.1,0.5,0.0,0.14236024844720496
pooled,2,1.5yr,0.3,0.1,0.5,0.05,0.1511049723756906
pooled,2,1.5yr,0.3,0.1,0.7,-0.05,0.1532934131736527
pooled,2,1.5yr,0.3,0.1,0.7,0.0,0.16964285714285715
pooled,2,1.5yr,0.3,0.1,0.7,0.05,0.1776824034334764
pooled,2,1.5yr,0.3,0.1,0.9,-0.05,0.20913978494623658
pooled,2,1.5yr,0.3,0.1,0.9,0.0,0.20718750000000002
pooled,2,1.5yr,0.3,0.1,0.9,0.05,0.2105263157894737
pooled,2,1.5yr,0.3,0.2,0.5,-0.05,0.1324022346368715
pooled,2,1.5yr,0.3,0.2,0.5,0.0,0.13853403141361256
pooled,2,1.5yr,0.3,0.2,0.5,0.05,0.14467980295566502
pooled,2,1.5yr,0.3,0.2,0.7,-0.05,0.15806451612903227
pooled,2,1.5yr,0.3,0.2,0.7,0.0,0.165
pooled,2,1.5yr,0.3,0.2,0.7,0.05,0.17373271889400924
pooled,2,1.5yr,0.3,0.2,0.9,-0.05,0.21570680628272254
pooled,2,1.5yr,0.3,0.2,0.9,0.0,0.19540000000000002
pooled,2,1.5yr,0.3,0.2,0.9,0.05,0.22472222222222224
pooled,2,1.5yr,0.5,0.1,0.5,-0.05,0.15
pooled,2,1.5yr,0.5,0.1,0.5,0.0,0.14848623853211007
pooled,2,1.5yr,0.5,0.1,0.5,0.05,0.14792079207920794
pooled,2,1.5yr,0.5,0.1,0.7,-0.05,0.18018433179723503
pooled,2,1.5yr,0.5,0.1,0.7,0.0,0.1852459016393443
pooled,2,1.5yr,0.5,0.1,0.7,0.05,0.18511904761904763
pooled,2,1.5yr,0.5,0.1,0.9,-0.05,0.2148936170212766
pooled,2,1.5yr,0.5,0.1,0.9,0.0,0.2168604651162791
pooled,2,1.5yr,0.5,0.1,0.9,0.05,0.30597014925373134
pooled,2,1.5yr,0.5,0.2,0.5,-0.05,0.14285714285714285
pooled,2,1.5yr,0.5,0.2,0.5,0.0,0.1470229007633588
