mode,n_measurements,study_end_week,duration_label,mu_baseline,sigma_baseline,target_att,rho,h_init,power,mean_att,mean_se,sd_att
pooled,3,26,6mo,0.7,0.2,0.08,0.5,0.05,0.339,0.08012482767106831,0.051545965638102355,0.05204804444101546
pooled,3,26,6mo,0.7,0.2,0.08,0.5,0.0,0.332,0.08414990488211864,0.05473760407896046,0.05687864159009791
pooled,3,26,6mo,0.7,0.2,0.08,0.7,-0.05,0.275,0.09006959235626198,0.06695522121755972,0.07011933426569057
pooled,3,26,6mo,0.7,0.2,0.08,0.7,0.05,0.234,0.0734572778063706,0.05777487476426345,0.059424478801546894
pooled,3,26,6mo,0.7,0.2,0.08,0.9,-0.05,0.226,0.09175335540346004,0.07291243593707487,0.07351394000273245
pooled,3,26,6mo,0.7,0.2,0.08,0.7,0.0,0.253,0.0810981214486042,0.06340023559960606,0.06835188298992705
pooled,3,26,6mo,0.7,0.2,0.08,0.9,0.05,0.144,0.051307410100085035,0.05534883779918967,0.05532540100329514
pooled,3,26,6mo,0.7,0.2,0.08,0.9,0.0,0.209,0.08082832189058312,0.0664004290640095,0.06475981998170353
pooled,3,26,6mo,0.7,0.2,0.1,0.5,-0.05,0.448,0.10555780927381533,0.05739548646636215,0.056954087760580564
pooled,3,26,6mo,0.7,0.2,0.1,0.5,0.0,0.49,0.1066229018169199,0.05474420251765052,0.05367614026719488
pooled,3,26,6mo,0.7,0.2,0.1,0.5,0.05,0.451,0.09635085462305427,0.051112103938609564,0.05300554312683679
pooled,3,26,6mo,0.7,0.2,0.1,0.7,0.0,0.363,0.10615600853491233,0.06326786702118704,0.06473408823980349
pooled,3,26,6mo,0.7,0.2,0.1,0.7,-0.05,0.365,0.11052175210350952,0.06629387734258485,0.06627370452704279
pooled,3,26,6mo,0.7,0.2,0.1,0.9,0.05,0.176,0.06142247546856463,0.05566591633598655,0.05481508579933316
pooled,3,26,6mo,0.7,0.2,0.1,0.9,-0.05,0.319,0.11030673855411141,0.07268384498068363,0.07367634486103915
pooled,3,26,6mo,0.7,0.2,0.12,0.5,0.05,0.608,0.11651400803255312,0.051199212302983126,0.051213023602629956
pooled,3,26,6mo,0.7,0.2,0.1,0.7,0.05,0.373,0.09554086799675345,0.05772336777489605,0.05818737756427923
pooled,3,26,6mo,0.7,0.2,0.1,0.9,0.0,0.334,0.09989470439148677,0.06576488514910073,0.06690733376462116
pooled,3,26,6mo,0.7,0.2,0.12,0.5,0.0,0.581,0.12182420281302206,0.05470817539385686,0.056928182781084746
pooled,3,26,6mo,0.7,0.2,0.12,0.5,-0.05,0.59,0.12757629593576697,0.05677818283503031,0.05642709758446911
pooled,3,26,6mo,0.7,0.2,0.12,0.7,0.0,0.48,0.12518151233280916,0.06290576932597856,0.06213379543324501
pooled,3,26,6mo,0.7,0.2,0.12,0.7,0.05,0.458,0.10980050009207391,0.05805680606952575,0.06028487742581066
pooled,3,26,6mo,0.7,0.2,0.12,0.7,-0.05,0.493,0.13211292957283763,0.06649128824088074,0.06332781233100053
pooled,3,26,6mo,0.7,0.2,0.12,0.9,-0.05,0.426,0.13334956358334926,0.07229844200097221,0.07320105879761356
pooled,3,26,6mo,0.7,0.2,0.15,0.5,0.05,0.751,0.13741247320852112,0.050934819609988,0.052388664202443
